"","area","date","source","med_inc"
"98","Hastings District",2006-03-31,"Census, median household income",45800
"99","Hastings District",2013-03-31,"Census, median household income",55900
"100","Hastings District",2018-03-31,"Census, median household income",66600
"101","Hauraki District",1996-03-31,"Census, median household income",28500
"102","Hauraki District",2001-03-31,"Census, median household income",29600
"103","Hauraki District",2006-03-31,"Census, median household income",36866.6666666667
"104","Hauraki District",2013-03-31,"Census, median household income",43100
"105","Hauraki District",2018-03-31,"Census, median household income",52500
"106","Hawke's Bay Region",1996-03-31,"Census, median household income",29700
"107","Hawke's Bay Region",2001-03-31,"Census, median household income",33450
"108","Hawke's Bay Region",2006-03-31,"Census, median household income",44200
"109","Hawke's Bay Region",2013-03-31,"Census, median household income",53200
"110","Hawke's Bay Region",2018-03-31,"Census, median household income",62800
"111","Horowhenua District",1996-03-31,"Census, median household income",26300
"112","Horowhenua District",2001-03-31,"Census, median household income",27700
"113","Horowhenua District",2006-03-31,"Census, median household income",33100
"114","Horowhenua District",2013-03-31,"Census, median household income",39150
"115","Horowhenua District",2018-03-31,"Census, median household income",47800
"116","Hurunui District",1996-03-31,"Census, median household income",27800
"117","Hurunui District",2001-03-31,"Census, median household income",31800
"118","Hurunui District",2006-03-31,"Census, median household income",43333.3333333333
"119","Hurunui District",2013-03-31,"Census, median household income",56350
"120","Hurunui District",2018-03-31,"Census, median household income",65900
"121","Invercargill City",1996-03-31,"Census, median household income",31800
"122","Invercargill City",2001-03-31,"Census, median household income",31900
"123","Invercargill City",2006-03-31,"Census, median household income",42300
"124","Invercargill City",2013-03-31,"Census, median household income",54300
"125","Invercargill City",2018-03-31,"Census, median household income",60500
"126","Kaikoura District",1996-03-31,"Census, median household income",27600
"127","Kaikoura District",2001-03-31,"Census, median household income",29600
"128","Kaikoura District",2006-03-31,"Census, median household income",41600
"129","Kaikoura District",2013-03-31,"Census, median household income",49550
"130","Kaikoura District",2018-03-31,"Census, median household income",65600
"131","Kaipara District",1996-03-31,"Census, median household income",27600
"132","Kaipara District",2001-03-31,"Census, median household income",30050
"133","Kaipara District",2006-03-31,"Census, median household income",37700
"134","Kaipara District",2013-03-31,"Census, median household income",42450
"135","Kaipara District",2018-03-31,"Census, median household income",53100
"136","Kapiti Coast District",1996-03-31,"Census, median household income",29800
"137","Kapiti Coast District",2001-03-31,"Census, median household income",33600
"138","Kapiti Coast District",2006-03-31,"Census, median household income",42500
"139","Kapiti Coast District",2013-03-31,"Census, median household income",53400
"140","Kapiti Coast District",2018-03-31,"Census, median household income",64100
"141","Kawerau District",1996-03-31,"Census, median household income",33300
"142","Kawerau District",2001-03-31,"Census, median household income",30700
"143","Kawerau District",2006-03-31,"Census, median household income",35633.3333333333
"144","Kawerau District",2013-03-31,"Census, median household income",37250
"145","Kawerau District",2018-03-31,"Census, median household income",42800
"146","Lower Hutt City",1996-03-31,"Census, median household income",40000
"147","Lower Hutt City",2001-03-31,"Census, median household income",45700
"148","Lower Hutt City",2006-03-31,"Census, median household income",56700
"149","Lower Hutt City",2013-03-31,"Census, median household income",69500
"150","Lower Hutt City",2018-03-31,"Census, median household income",82200
"151","Mackenzie District",1996-03-31,"Census, median household income",27700
"152","Mackenzie District",2001-03-31,"Census, median household income",31950
"153","Mackenzie District",2006-03-31,"Census, median household income",40166.6666666667
"154","Mackenzie District",2013-03-31,"Census, median household income",55100
"155","Mackenzie District",2018-03-31,"Census, median household income",67200
"156","Manawatu-Wanganui Region",1996-03-31,"Census, median household income",29800
"157","Manawatu-Wanganui Region",2001-03-31,"Census, median household income",32600
"158","Manawatu-Wanganui Region",2006-03-31,"Census, median household income",41200
"159","Manawatu-Wanganui Region",2013-03-31,"Census, median household income",50000
"160","Manawatu-Wanganui Region",2018-03-31,"Census, median household income",57800
"161","Manawatu District",1996-03-31,"Census, median household income",33100
"162","Manawatu District",2001-03-31,"Census, median household income",37250
"163","Manawatu District",2006-03-31,"Census, median household income",47033.3333333333
"164","Manawatu District",2013-03-31,"Census, median household income",57600
