"period","region","tenure","percent_25ormore","percent_30ormore","percent_40ormore","region_desc"
"1995","05","Owned","13.6","9.1","5.4","Rest of the South Island"
"1995","05","Rent","45.8","39.4","22.3","Rest of the South Island"
"1995","ZZZZ","Owned","22.9","16.5","8.5","Total New Zealand"
"1995","ZZZZ","Rent","54.9","45.5","31.3","Total New Zealand"
"1996","01","Owned","27.6","20.8","10.6","Auckland"
"1996","01","Rent","64","50.6","30.9","Auckland"
"1996","02","Owned","22.6","14.3","6.1","Wellington"
"1996","02","Rent","59.5","45.6","30","Wellington"
"1996","03","Owned","24.3","16.6","8.5","Rest of North Island"
"1996","03","Rent","49.2","39.4","25.3","Rest of North Island"
"1996","04","Owned","23.3","16.8","8.8","Canterbury"
"1996","04","Rent","63.9","52.5","33.5","Canterbury"
"1996","05","Owned","18.2","14.1","5.6","Rest of the South Island"
"1996","05","Rent","41.1","27.8","18.5","Rest of the South Island"
"1996","ZZZZ","Owned","24","17.2","8.4","Total New Zealand"
"1996","ZZZZ","Rent","55.8","43.8","27.8","Total New Zealand"
"1997","01","Owned","30.3","23.5","13.6","Auckland"
"1997","01","Rent","70.2","62.1","42.8","Auckland"
"1997","02","Owned","26.9","16","7.7","Wellington"
"1997","02","Rent","54.2","44.9","32.7","Wellington"
"1997","03","Owned","22.6","15.9","7.5","Rest of North Island"
"1997","03","Rent","48.1","37.8","23.1","Rest of North Island"
"1997","04","Owned","28.8","16.4","9.6","Canterbury"
"1997","04","Rent","57.6","46.5","26.6","Canterbury"
"1997","05","Owned","19.2","15","5.6","Rest of the South Island"
"1997","05","Rent","42.2","35.9","18.7","Rest of the South Island"
"1997","ZZZZ","Owned","25.7","18","9.3","Total New Zealand"
"1997","ZZZZ","Rent","56.1","46.9","30.2","Total New Zealand"
"1998","01","Owned","28.6","24.4","13.8","Auckland"
"1998","01","Rent","64.1","57","40","Auckland"
"1998","02","Owned","19.9","14","7.2","Wellington"
"1998","02","Rent","67.8","52.5","31.2","Wellington"
"1998","03","Owned","23.9","16.7","7.8","Rest of North Island"
"1998","03","Rent","45.4","35.5","20.8","Rest of North Island"
"1998","04","Owned","20.5","16.1","7.6","Canterbury"
"1998","04","Rent","64.7","51.2","30.8","Canterbury"
"1998","05","Owned","15.5","9.7","4.8","Rest of the South Island"
"1998","05","Rent","50.2","37.2","16.8","Rest of the South Island"
"1998","ZZZZ","Owned","23.1","17.5","9","Total New Zealand"
"1998","ZZZZ","Rent","56.4","46","28.7","Total New Zealand"
"2001","01","Owned","33.6","26.4","17.3","Auckland"
"2001","01","Rent","60.5","45.7","34","Auckland"
"2001","02","Owned","20.6","15.7","9.6","Wellington"
"2001","02","Rent","59.7","47.2","27.2","Wellington"
"2001","03","Owned","21.3","14.6","6.3","Rest of North Island"
"2001","03","Rent","43.6","33.1","16.6","Rest of North Island"
"2001","04","Owned","24","17.6","10.6","Canterbury"
"2001","04","Rent","64.6","48.3","23.7","Canterbury"
"2001","05","Owned","22.1","17.8","8.6","Rest of the South Island"
"2001","05","Rent","30.1","21.9","9.1","Rest of the South Island"
"2001","ZZZZ","Owned","25.3","19","10.8","Total New Zealand"
"2001","ZZZZ","Rent","50.9","38.6","22.6","Total New Zealand"
"2004","01","Owned","32.3","23.1","13.7","Auckland"
"2004","01","Rent","53.1","38.6","27.9","Auckland"
"2004","02","Owned","24.6","17.6","11.4","Wellington"
"2004","02","Rent","40.7","22.8","13.8","Wellington"
"2004","03","Owned","18.6","11.3","5.1","Rest of North Island"
"2004","03","Rent","46.3","34.6","20.2","Rest of North Island"
"2004","04","Owned","20.2","12.1","3.9","Canterbury"
"2004","04","Rent","45","33.1","24.4","Canterbury"
"2004","05","Owned","18.2","15.4","6.1","Rest of the South Island"
"2004","05","Rent","41.8","34.7","16.3","Rest of the South Island"
"2004","ZZZZ","Owned","23.2","16","8.2","Total New Zealand"
"2004","ZZZZ","Rent","47.2","34.4","21.9","Total New Zealand"
