"date","Area","sector","type","value","concept"
2009-03-31,"New Zealand","All sectors","geomean_rent",277.170885553886,"Start date, Flow"
2009-06-30,"New Zealand","All sectors","geomean_rent",272.895091935418,"Start date, Flow"
2009-09-30,"New Zealand","All sectors","geomean_rent",267.66480614726,"Start date, Flow"
2009-12-31,"New Zealand","All sectors","geomean_rent",275.544016437937,"Start date, Flow"
2010-03-31,"New Zealand","All sectors","geomean_rent",280.425970181078,"Start date, Flow"
2010-06-30,"New Zealand","All sectors","geomean_rent",276.881986816517,"Start date, Flow"
2010-09-30,"New Zealand","All sectors","geomean_rent",279.115792415029,"Start date, Flow"
2010-12-31,"New Zealand","All sectors","geomean_rent",282.796239646407,"Start date, Flow"
2011-03-31,"New Zealand","All sectors","geomean_rent",296.67788156347,"Start date, Flow"
2011-06-30,"New Zealand","All sectors","geomean_rent",286.018741475885,"Start date, Flow"
2011-09-30,"New Zealand","All sectors","geomean_rent",287.424834980592,"Start date, Flow"
2011-12-31,"New Zealand","All sectors","geomean_rent",291.931857454616,"Start date, Flow"
2012-03-31,"New Zealand","All sectors","geomean_rent",305.09797751389,"Start date, Flow"
2012-06-30,"New Zealand","All sectors","geomean_rent",302.203990107886,"Start date, Flow"
2012-09-30,"New Zealand","All sectors","geomean_rent",306.454902775685,"Start date, Flow"
2012-12-31,"New Zealand","All sectors","geomean_rent",305.179017930984,"Start date, Flow"
2013-03-31,"New Zealand","All sectors","geomean_rent",316.482660050285,"Start date, Flow"
2013-06-30,"New Zealand","All sectors","geomean_rent",306.950112668562,"Start date, Flow"
2013-09-30,"New Zealand","All sectors","geomean_rent",305.306464804911,"Start date, Flow"
2013-12-31,"New Zealand","All sectors","geomean_rent",312.209876979986,"Start date, Flow"
2014-03-31,"New Zealand","All sectors","geomean_rent",325.409484550916,"Start date, Flow"
2014-06-30,"New Zealand","All sectors","geomean_rent",323.034716749542,"Start date, Flow"
2014-09-30,"New Zealand","All sectors","geomean_rent",319.902303659502,"Start date, Flow"
2014-12-31,"New Zealand","All sectors","geomean_rent",325.20149244503,"Start date, Flow"
2015-03-31,"New Zealand","All sectors","geomean_rent",342.208797910358,"Start date, Flow"
2015-06-30,"New Zealand","All sectors","geomean_rent",336.592300016019,"Start date, Flow"
2015-09-30,"New Zealand","All sectors","geomean_rent",338.888397152146,"Start date, Flow"
2015-12-31,"New Zealand","All sectors","geomean_rent",345.220600852868,"Start date, Flow"
2016-03-31,"New Zealand","All sectors","geomean_rent",357.457439782516,"Start date, Flow"
2016-06-30,"New Zealand","All sectors","geomean_rent",348.037060002879,"Start date, Flow"
2016-09-30,"New Zealand","All sectors","geomean_rent",353.338186673229,"Start date, Flow"
2016-12-31,"New Zealand","All sectors","geomean_rent",357.772047764633,"Start date, Flow"
2017-03-31,"New Zealand","All sectors","geomean_rent",371.768459909373,"Start date, Flow"
2017-06-30,"New Zealand","All sectors","geomean_rent",365.544200085877,"Start date, Flow"
2017-09-30,"New Zealand","All sectors","geomean_rent",368.397267763806,"Start date, Flow"
2017-12-31,"New Zealand","All sectors","geomean_rent",374.528735745992,"Start date, Flow"
2018-03-31,"New Zealand","All sectors","geomean_rent",391.715396975125,"Start date, Flow"
2018-06-30,"New Zealand","All sectors","geomean_rent",385.789950188682,"Start date, Flow"
2018-09-30,"New Zealand","All sectors","geomean_rent",383.620714473418,"Start date, Flow"
2018-12-31,"New Zealand","All sectors","geomean_rent",392.355733419851,"Start date, Flow"
2019-03-31,"New Zealand","All sectors","geomean_rent",415.322098126868,"Start date, Flow"
2019-06-30,"New Zealand","All sectors","geomean_rent",426.329698988513,"Start date, Flow"
2019-09-30,"New Zealand","All sectors","geomean_rent",425.537920560028,"Start date, Flow"
2019-12-31,"New Zealand","All sectors","geomean_rent",436.523178916312,"Start date, Flow"
2020-03-31,"New Zealand","All sectors","geomean_rent",455.42710130846,"Start date, Flow"
2020-06-30,"New Zealand","All sectors","geomean_rent",443.506284427574,"Start date, Flow"
2020-09-30,"New Zealand","All sectors","geomean_rent",442.939482002648,"Start date, Flow"
2020-12-31,"New Zealand","All sectors","geomean_rent",459.207691866502,"Start date, Flow"
2021-03-31,"New Zealand","All sectors","geomean_rent",499.75123725184,"Start date, Flow"
2021-06-30,"New Zealand","All sectors","geomean_rent",794.827025207372,"Start date, Flow"
2021-09-30,"New Zealand","All sectors","geomean_rent",1658.3123951777,"Start date, Flow"
1993-03-31,"Dunedin City","All sectors","geomean_rent",154.896608880454,"Start date, Flow"
1993-03-31,"Chatham Islands","All sectors","geomean_rent",173.475592571432,"Start date, Flow"
1993-03-31,"Southland District","All sectors","geomean_rent",61.3559118194932,"Start date, Flow"
1993-03-31,"Hutt City","All sectors","geomean_rent",148.72248419626,"Start date, Flow"
1993-03-31,"Hamilton City","All sectors","geomean_rent",131.5047734843,"Start date, Flow"
1993-03-31,"Tauranga City","All sectors","geomean_rent",149.158606720676,"Start date, Flow"
1993-03-31,"Horowhenua District","All sectors","geomean_rent",119.233900913849,"Start date, Flow"
1993-03-31,"Kapiti Coast District","All sectors","geomean_rent",148.576050157292,"Start date, Flow"
1993-03-31,"Masterton District","All sectors","geomean_rent",106.606188972645,"Start date, Flow"
1993-03-31,"Christchurch City","All sectors","geomean_rent",146.143625544351,"Start date, Flow"
1993-03-31,"Invercargill City","All sectors","geomean_rent",97.4844983703266,"Start date, Flow"
1993-03-31,"Marlborough District","All sectors","geomean_rent",128.068425345837,"Start date, Flow"
1993-03-31,"Wellington City","All sectors","geomean_rent",170.615557719874,"Start date, Flow"
1993-03-31,"Central Otago District","All sectors","geomean_rent",103.658769635238,"Start date, Flow"
1993-03-31,"Gisborne District","All sectors","geomean_rent",112.60883025456,"Start date, Flow"
1993-03-31,"New Plymouth District","All sectors","geomean_rent",126.476733027279,"Start date, Flow"
1993-03-31,"Whakatane District","All sectors","geomean_rent",117.872496169854,"Start date, Flow"
1993-03-31,"Whangarei District","All sectors","geomean_rent",112.812688438092,"Start date, Flow"
1993-03-31,"Palmerston North City","All sectors","geomean_rent",151.800444836824,"Start date, Flow"
1993-03-31,"Ashburton District","All sectors","geomean_rent",100.766538933616,"Start date, Flow"
1993-03-31,"Thames Coromandel District","All sectors","geomean_rent",118.915562096751,"Start date, Flow"
1993-03-31,"South Waikato District","All sectors","geomean_rent",97.4750448899151,"Start date, Flow"
1993-03-31,"Nelson City","All sectors","geomean_rent",142.601590624829,"Start date, Flow"
1993-03-31,"Matamata Piako District","All sectors","geomean_rent",109.537949699761,"Start date, Flow"
1993-03-31,"Ruapehu District","All sectors","geomean_rent",81.5722140386779,"Start date, Flow"
1993-03-31,"Napier City","All sectors","geomean_rent",123.546689212656,"Start date, Flow"
1993-03-31,"Hastings District","All sectors","geomean_rent",126.449885900257,"Start date, Flow"
1993-03-31,"Rangitikei District","All sectors","geomean_rent",89.9795840417583,"Start date, Flow"
1993-03-31,"Waipa District","All sectors","geomean_rent",130.158128254858,"Start date, Flow"
1993-03-31,"Kawerau District","All sectors","geomean_rent",107.390271701717,"Start date, Flow"
1993-03-31,"Waitaki District","All sectors","geomean_rent",81.0487119975617,"Start date, Flow"
1993-03-31,"Manawatu District","All sectors","geomean_rent",118.938703176409,"Start date, Flow"
1993-03-31,"South Taranaki District","All sectors","geomean_rent",97.2587145238502,"Start date, Flow"
1993-03-31,"Upper Hutt City","All sectors","geomean_rent",149.65103507772,"Start date, Flow"
1993-03-31,"Far North District","All sectors","geomean_rent",110.743604673076,"Start date, Flow"
1993-03-31,"Tasman District","All sectors","geomean_rent",125.116408917343,"Start date, Flow"
1993-03-31,"South Wairarapa District","All sectors","geomean_rent",99.208564810154,"Start date, Flow"
1993-03-31,"Porirua City","All sectors","geomean_rent",146.851859775054,"Start date, Flow"
1993-03-31,"Rotorua District","All sectors","geomean_rent",127.474408907259,"Start date, Flow"
1993-03-31,"Whanganui District","All sectors","geomean_rent",112.444999908162,"Start date, Flow"
1993-03-31,"Hauraki District","All sectors","geomean_rent",115.78389068198,"Start date, Flow"
1993-03-31,"Timaru District","All sectors","geomean_rent",100.601243039467,"Start date, Flow"
1993-03-31,"Taupo District","All sectors","geomean_rent",124.344892889409,"Start date, Flow"
1993-03-31,"Waikato District","All sectors","geomean_rent",103.530117978733,"Start date, Flow"
1993-03-31,"Carterton District","All sectors","geomean_rent",93.5906403874565,"Start date, Flow"
1993-03-31,"Waimakariri District","All sectors","geomean_rent",141.362110325362,"Start date, Flow"
1993-03-31,"Selwyn District","All sectors","geomean_rent",128.74636611771,"Start date, Flow"
1993-03-31,"Tararua District","All sectors","geomean_rent",92.7511022998777,"Start date, Flow"
1993-03-31,"Western Bay of Plenty District","All sectors","geomean_rent",124.856565125045,"Start date, Flow"
1993-03-31,"Waitomo District","All sectors","geomean_rent",74.4750573524793,"Start date, Flow"
1993-03-31,"Opotiki District","All sectors","geomean_rent",99.4805414454973,"Start date, Flow"
1993-03-31,"Waimate District","All sectors","geomean_rent",80.7967617277514,"Start date, Flow"
1993-03-31,"Grey District","All sectors","geomean_rent",106.011300511721,"Start date, Flow"
1993-03-31,"Kaipara District","All sectors","geomean_rent",103.554150013486,"Start date, Flow"
1993-03-31,"Queenstown Lakes District","All sectors","geomean_rent",156.686073167399,"Start date, Flow"
1993-03-31,"Clutha District","All sectors","geomean_rent",76.0072642457221,"Start date, Flow"
1993-03-31,"Stratford District","All sectors","geomean_rent",88.8295540953886,"Start date, Flow"
1993-03-31,"Gore District","All sectors","geomean_rent",85.9123594642649,"Start date, Flow"
1993-03-31,"Wairoa District","All sectors","geomean_rent",85.252535656038,"Start date, Flow"
1993-03-31,"Kaikoura District","All sectors","geomean_rent",90.035006411006,"Start date, Flow"
1993-03-31,"Buller District","All sectors","geomean_rent",86.0115935495007,"Start date, Flow"
1993-03-31,"Hurunui District","All sectors","geomean_rent",70.1910213955945,"Start date, Flow"
1993-03-31,"Central Hawkes Bay District","All sectors","geomean_rent",103.880642533634,"Start date, Flow"
1993-03-31,"Otorohanga District","All sectors","geomean_rent",77.4463358995445,"Start date, Flow"
1993-03-31,"MacKenzie District","All sectors","geomean_rent",62.3074686034525,"Start date, Flow"
1993-03-31,"Westland District","All sectors","geomean_rent",96.572737491265,"Start date, Flow"
1993-06-30,"Chatham Islands","All sectors","geomean_rent",176.342824670875,"Start date, Flow"
1993-06-30,"Christchurch City","All sectors","geomean_rent",140.723771536477,"Start date, Flow"
1993-06-30,"Dunedin City","All sectors","geomean_rent",120.30186662321,"Start date, Flow"
1993-06-30,"Tauranga City","All sectors","geomean_rent",149.70678286423,"Start date, Flow"
1993-06-30,"Kapiti Coast District","All sectors","geomean_rent",143.175937376232,"Start date, Flow"
1993-06-30,"Rangitikei District","All sectors","geomean_rent",99.9595254138977,"Start date, Flow"
1993-06-30,"Palmerston North City","All sectors","geomean_rent",143.353758680981,"Start date, Flow"
1993-06-30,"Hamilton City","All sectors","geomean_rent",131.909615248259,"Start date, Flow"
1993-06-30,"Far North District","All sectors","geomean_rent",110.104636558106,"Start date, Flow"
1993-06-30,"Hastings District","All sectors","geomean_rent",128.107759026277,"Start date, Flow"
1993-06-30,"Whangarei District","All sectors","geomean_rent",112.144577816842,"Start date, Flow"
1993-06-30,"South Taranaki District","All sectors","geomean_rent",97.9767296190052,"Start date, Flow"
1993-06-30,"Ruapehu District","All sectors","geomean_rent",92.4708129746512,"Start date, Flow"
1993-06-30,"Napier City","All sectors","geomean_rent",128.365272860562,"Start date, Flow"
1993-06-30,"Wellington City","All sectors","geomean_rent",170.532184917089,"Start date, Flow"
1993-06-30,"Nelson City","All sectors","geomean_rent",144.79483248839,"Start date, Flow"
1993-06-30,"Whanganui District","All sectors","geomean_rent",113.672724943445,"Start date, Flow"
1993-06-30,"Horowhenua District","All sectors","geomean_rent",120.925009064164,"Start date, Flow"
1993-06-30,"Kawerau District","All sectors","geomean_rent",109.710843510903,"Start date, Flow"
1993-06-30,"Gore District","All sectors","geomean_rent",84.1854341966398,"Start date, Flow"
1993-06-30,"Timaru District","All sectors","geomean_rent",103.941223088242,"Start date, Flow"
1993-06-30,"Queenstown Lakes District","All sectors","geomean_rent",158.344274742024,"Start date, Flow"
1993-06-30,"Hutt City","All sectors","geomean_rent",147.036235856085,"Start date, Flow"
1993-06-30,"Marlborough District","All sectors","geomean_rent",125.982440399741,"Start date, Flow"
1993-06-30,"Rotorua District","All sectors","geomean_rent",124.903591823473,"Start date, Flow"
1993-06-30,"Grey District","All sectors","geomean_rent",105.644723102694,"Start date, Flow"
1993-06-30,"South Waikato District","All sectors","geomean_rent",102.616352976617,"Start date, Flow"
1993-06-30,"Ashburton District","All sectors","geomean_rent",109.407453742631,"Start date, Flow"
1993-06-30,"Thames Coromandel District","All sectors","geomean_rent",121.269082016048,"Start date, Flow"
1993-06-30,"New Plymouth District","All sectors","geomean_rent",125.099055540886,"Start date, Flow"
1993-06-30,"Waikato District","All sectors","geomean_rent",104.098966566081,"Start date, Flow"
1993-06-30,"Taupo District","All sectors","geomean_rent",127.011454597357,"Start date, Flow"
1993-06-30,"Invercargill City","All sectors","geomean_rent",99.9205792467723,"Start date, Flow"
1993-06-30,"Gisborne District","All sectors","geomean_rent",116.837273052529,"Start date, Flow"
1993-06-30,"Porirua City","All sectors","geomean_rent",148.090045216625,"Start date, Flow"
1993-06-30,"Masterton District","All sectors","geomean_rent",109.36910546993,"Start date, Flow"
1993-06-30,"MacKenzie District","All sectors","geomean_rent",67.5283316924958,"Start date, Flow"
1993-06-30,"Manawatu District","All sectors","geomean_rent",123.63262996552,"Start date, Flow"
1993-06-30,"Waipa District","All sectors","geomean_rent",132.68917163442,"Start date, Flow"
1993-06-30,"Stratford District","All sectors","geomean_rent",91.6283792520556,"Start date, Flow"
1993-06-30,"Matamata Piako District","All sectors","geomean_rent",112.369043943897,"Start date, Flow"
1993-06-30,"Whakatane District","All sectors","geomean_rent",123.436954956445,"Start date, Flow"
1993-06-30,"Tararua District","All sectors","geomean_rent",93.745534687946,"Start date, Flow"
1993-06-30,"Central Otago District","All sectors","geomean_rent",105.739331998967,"Start date, Flow"
1993-06-30,"Hauraki District","All sectors","geomean_rent",113.860588122444,"Start date, Flow"
1993-06-30,"Opotiki District","All sectors","geomean_rent",99.7920323757103,"Start date, Flow"
1993-06-30,"Kaikoura District","All sectors","geomean_rent",107.738431339462,"Start date, Flow"
1993-06-30,"Upper Hutt City","All sectors","geomean_rent",143.781100625947,"Start date, Flow"
1993-06-30,"Wairoa District","All sectors","geomean_rent",83.0825348546008,"Start date, Flow"
